on x=-24..25,y=-36..8,z=-15..31
on x=64417..73146,y=-46421..-27026,z=-11977..5226
on x=-40054..-18944,y=-55048..-41738,z=45428..68649
on x=-65611..-54177,y=28337..67817,z=-1491..15419
on x=-30117..-9940,y=57564..83609,z=14438..22712
on x=-13164..6165,y=61972..81267,z=-47467..-39663
on x=-2173..28245,y=75188..91046,z=556..16876
on x=-4..12849,y=-85689..-67413,z=-34162..-14875
on x=-11527..5326,y=-63674..-55001,z=-67662..-44192
on x=52029..61177,y=16625..47606,z=27090..56949
on x=19858..45619,y=-8130..-1116,z=-87000..-51951
on x=43717..72304,y=6327..18235,z=58169..75006
on x=63833..80302,y=-30616..-8105,z=11024..36696
on x=-45572..-16059,y=35612..71738,z=-53693..-37289
on x=-16077..-4950,y=-17904..13223,z=71249..95474
on x=52599..73253,y=16815..34639,z=-60697..-27949
on x=-41732..-31077,y=-11037..13451,z=-73093..-54774
on x=53309..66643,y=8304..19193,z=-66902..-43757
on x=-59715..-29107,y=-39147..-16955,z=48402..67889
on x=29285..52214,y=51860..67940,z=-25929..-9268
on x=-16348..7210,y=69946..89391,z=-41857..-18421
on x=2698..23210,y=59762..80189,z=-6455..9730
on x=25914..47727,y=-37594..-4161,z=57532..85025
on x=-44900..-40581,y=18628..27968,z=-73311..-53222
on x=-50711..-22413,y=-13753..10014,z=65728..84385
on x=-32509..-20107,y=-49733..-29413,z=-75164..-62928
on x=53276..62570,y=-67165..-37653,z=25917..40730
on x=-68935..-61669,y=34458..53039,z=3272..40994
on x=-40954..-6666,y=-497..19030,z=-91459..-58759
on x=-20953..10033,y=-33710..-12044,z=-78318..-64257
off x=65172..88719,y=18292..33463,z=-17289..13667
on x=-81689..-47210,y=-51292..-39161,z=12239..18630
on x=10674..27779,y=64781..93057,z=-12847..15033
off x=39381..59141,y=-53867..-33869,z=-39320..-32369
on x=11509..16649,y=61436..83173,z=-24404..-1309
off x=-84235..-64867,y=-40299..-21340,z=-423..17121
on x=28703..60717,y=5866..35207,z=56237..83480
on x=-10016..7016,y=-68319..-44113,z=-75242..-40162
on x=-83871..-49706,y=4896..23706,z=27867..51976
on x=21894..45090,y=-66881..-46774,z=41161..61093
off x=-62532..-54799,y=-13198..5554,z=38616..64779
on x=27655..50554,y=-67141..-53031,z=-42723..-27481
off x=64418..79284,y=-37561..-23573,z=-46944..-21319
off x=-51161..-14654,y=-76354..-54783,z=-48356..-20513
off x=-42010..-26446,y=-33941..-8781,z=62481..80092
off x=47932..71695,y=-28741..-12969,z=43875..70370
on x=-47783..-15943,y=72073..89936,z=-12302..25107
on x=54099..73531,y=-25166..-8103,z=29622..38828
on x=-12110..9328,y=27821..51352,z=-80606..-70867
on x=-31368..-4092,y=-500..34976,z=-87386..-75947
on x=18493..53336,y=40904..49118,z=35477..61315
on x=-80008..-57206,y=-14580..4805,z=-54640..-31294
on x=-32490..-16053,y=-58155..-38625,z=43694..71086
on x=-10446..7685,y=56844..75668,z=23039..31796
off x=-76403..-52174,y=10374..31289,z=39907..57503
off x=-26055..-4386,y=-81087..-68859,z=-22915..-2143
off x=-4280..9653,y=57774..86757,z=-904..38154
on x=-41376..-26231,y=-89287..-51816,z=-5937..20376
off x=-7948..3204,y=-87582..-61875,z=-26876..-12952
on x=-18434..9410,y=-72877..-62275,z=22779..44958
off x=-55286..-31084,y=8442..18459,z=63430..85422
off x=46159..58401,y=58001..65987,z=-6474..2217
off x=-32868..-32193,y=-77036..-54350,z=-917..27006
on x=48668..66652,y=-26976..5182,z=35663..58610
off x=38087..64878,y=-24672..-4653,z=-68258..-59477
off x=-53244..-39319,y=252..29359,z=52725..84195
on x=141..27199,y=44490..73922,z=-55944..-29456
on x=-84450..-63805,y=-40926..-20894,z=4677..17596
off x=39425..66117,y=19007..46505,z=-58489..-38804
on x=53467..60154,y=2617..5892,z=51003..78171
off x=19966..42245,y=13558..19380,z=59455..86402
on x=21300..38763,y=73252..90242,z=-19055..3136
on x=-71417..-48663,y=33111..54219,z=25931..36276
on x=-67157..-51626,y=2163..11911,z=-69440..-41965
off x=42596..62690,y=-59813..-39876,z=16046..45998
on x=-82036..-67846,y=-42461..-10926,z=-16260..-3847
on x=-13454..5032,y=-10314..6090,z=76506..83510
off x=-21588..7122,y=-79335..-57762,z=-1279..21971
on x=-11735..19084,y=-31299..-3107,z=68498..89486
off x=-71467..-56250,y=-26934..5137,z=35054..50529
off x=39576..77579,y=33834..65473,z=-3744..20619
on x=12739..14479,y=-13240..13626,z=-89272..-64415
off x=-63543..-35059,y=60140..67181,z=-11563..-6727
on x=-15517..5456,y=983..21630,z=-80320..-68386
off x=7811..14617,y=71578..98257,z=-474..15243
on x=-7774..29003,y=-27431..-2908,z=73893..86951
on x=63736..81572,y=15807..49952,z=-32605..-1562
on x=49724..57359,y=-72171..-46890,z=-18144..-4030
on x=-49068..-19251,y=-28646..-15251,z=56881..87240
on x=62815..67986,y=18515..40814,z=22891..43899
on x=30739..56402,y=55701..77539,z=4292..40862
on x=35024..59505,y=-63928..-51167,z=15405..34767
off x=39106..46794,y=-68583..-63616,z=-399..17775
on x=-70229..-58803,y=26355..47987,z=15672..37067
on x=-6511..8398,y=-63315..-40491,z=-66501..-51987
on x=-78593..-55090,y=-8028..9544,z=31422..37894
on x=-79412..-70298,y=19753..28627,z=5571..36416
on x=-89561..-60633,y=16496..22162,z=-32917..-6897
off x=-23104..-11350,y=-76163..-61981,z=-40336..-23381
on x=-85805..-48591,y=29020..58858,z=-23434..-19341
on x=69290..91036,y=17261..37103,z=-15132..-9877
off x=-44440..-24696,y=17723..51873,z=-68818..-54989
off x=43772..59030,y=-17927..3064,z=55335..78596
on x=-5180..4036,y=-60894..-39546,z=58601..77994
off x=-44960..-26540,y=38654..49428,z=-62327..-48025
off x=-74687..-41990,y=5981..26340,z=42962..57900
off x=55493..88116,y=-17045..8808,z=9731..39020
on x=-24814..1407,y=-78117..-59571,z=-36156..-26352
on x=-83605..-59634,y=-30003..-11802,z=10051..23746
on x=-18750..712,y=76566..88144,z=-4441..17547
on x=-11785..-4018,y=64493..85862,z=-55751..-31406
on x=-74186..-55121,y=14817..23915,z=-41641..-23761
off x=5992..33894,y=-90670..-53716,z=9612..29671
off x=-40543..-26092,y=-84192..-54871,z=14275..33818
on x=2486..34070,y=-79407..-48278,z=-59230..-41785
off x=31470..48508,y=-2451..14244,z=54809..82900
on x=-19855..-3955,y=67769..81251,z=-6898..10397
on x=60768..97450,y=-15032..8514,z=-9176..8109
off x=-433..15414,y=54977..88477,z=-37513..-14435
on x=30798..57438,y=60545..83101,z=-4736..16030
off x=45847..70333,y=-20401..5745,z=-53475..-35483
on x=-94597..-62644,y=-22131..-6260,z=-3361..23192
on x=-6949..23262,y=68737..84594,z=32672..52233
on x=-103..6616,y=70184..87574,z=22795..52965
off x=-73655..-61464,y=-50996..-25604,z=-1589..9963
on x=-55460..-51518,y=-68780..-38230,z=22381..38918
on x=-81286..-58909,y=2050..12715,z=21579..33288
off x=-74128..-64082,y=-11151..4421,z=-54504..-35345
off x=-82050..-58102,y=16008..37063,z=-57455..-28440
off x=-48935..-32720,y=-65357..-55002,z=33430..44066
on x=-58688..-25435,y=55044..79401,z=24759..35341
on x=-59328..-46068,y=-55349..-37872,z=-47613..-39008
off x=53812..77978,y=-21871..-5635,z=-54951..-44718
on x=35210..53097,y=-67155..-57873,z=-25088..8942
on x=68476..96029,y=-18829..17901,z=-24375..-4292
off x=-58133..-42806,y=-15734..-2625,z=45814..75426
off x=923..36206,y=34426..39751,z=62306..84272
on x=-3795..2999,y=5692..34082,z=56908..88089
off x=-28687..-8938,y=50077..55834,z=-72947..-51911
on x=17572..33049,y=-12608..13871,z=64041..80084
off x=23004..46612,y=626..18493,z=-77533..-72175
off x=-11296..6738,y=55113..72504,z=35830..68101
on x=-87318..-72234,y=13939..28545,z=9367..32229
on x=-4903..7740,y=-5776..16649,z=72654..82239
off x=21724..37965,y=3232..30800,z=-83510..-51450
on x=43256..64634,y=45840..71859,z=-19655..15838
on x=35402..50139,y=-63773..-44546,z=-66313..-51025
off x=-47203..-24639,y=-24938..5990,z=-83540..-55282
on x=48830..87050,y=-60568..-26778,z=-14105..10986
off x=-17727..7121,y=-89461..-61150,z=34482..52375
on x=-13528..11467,y=-34429..-25025,z=-88524..-59175
on x=39947..70910,y=45941..55768,z=-29269..6512
on x=-57443..-40902,y=-54344..-30702,z=-67147..-33819
on x=43698..58730,y=-8086..12623,z=-64645..-52484
on x=-86516..-60070,y=4701..29233,z=-42210..-26002
off x=-12564..13809,y=57954..79924,z=33734..52972
on x=-91205..-60724,y=-19260..4299,z=14948..33107
off x=9430..36004,y=-47248..-32931,z=-78412..-59231
off x=5464..23019,y=69146..89993,z=14523..52775
on x=69092..89480,y=-18263..-5255,z=-56056..-24436
on x=-78979..-63119,y=-28030..4471,z=-3442..1095
on x=-40742..-11522,y=-67931..-50625,z=30872..54565
on x=11200..31162,y=56276..81907,z=-38674..-23276
off x=28090..50485,y=32391..54717,z=42405..68490
off x=62000..96016,y=-12785..10045,z=-40559..-9853
off x=-77111..-65043,y=-4182..9946,z=7700..29317
off x=4021..35324,y=54155..81764,z=13952..43096
on x=38831..66415,y=41293..51680,z=-36105..-30486
off x=-42209..-7965,y=-73605..-55906,z=-26801..-15432
off x=69895..80368,y=-30219..-4026,z=-51683..-32477
on x=34133..59680,y=-37589..-18165,z=55539..65839
off x=59099..84713,y=-8186..21590,z=-35085..-22984
on x=-68703..-46847,y=-54965..-36640,z=-44900..-28240
on x=60059..78605,y=21782..40949,z=13470..26429
off x=18158..42949,y=15953..34973,z=68917..82582
off x=66650..68484,y=-44088..-36424,z=-14932..3832
off x=-68951..-46350,y=-54590..-47375,z=-35451..-18201
on x=-51118..-28325,y=-89830..-51709,z=-29326..2472
on x=34071..61762,y=38942..63058,z=-37770..-20793
off x=-21803..8058,y=59489..67631,z=-58454..-31005
off x=18618..38459,y=-49926..-34627,z=-77416..-43266
off x=52621..58415,y=3978..16040,z=48121..67965
on x=-84919..-59330,y=963..24944,z=-23669..-4029
on x=7048..18504,y=19827..42119,z=-77713..-71923
off x=17349..46710,y=68184..85521,z=-19492..-10865
on x=57808..67714,y=-6890..11149,z=48859..61826
off x=-37787..-16255,y=-84155..-64960,z=-16962..13437
off x=-47712..-22804,y=-6956..-1446,z=53309..84030
off x=-79417..-63459,y=-63881..-43934,z=-12315..3049
off x=-20800..332,y=-81856..-62781,z=-19387..1453
on x=-16101..18477,y=11949..24232,z=57910..86506
off x=58744..70461,y=50236..65473,z=6870..15136
off x=-28383..-1268,y=6187..14201,z=73853..85906
off x=-14830..-2177,y=73475..96200,z=-12288..-8227
off x=-55531..-26102,y=-40611..-9588,z=60023..66074
on x=-29047..7282,y=30034..54033,z=-69351..-58996
on x=-56717..-42768,y=-37528..-20235,z=-76181..-51568
off x=-22648..12027,y=10239..18040,z=68871..84453
on x=71843..78578,y=17090..31651,z=-29255..4046
off x=-5332..8529,y=-80409..-57885,z=-34912..-11922
on x=8130..15975,y=-85824..-63915,z=-15569..-2050
on x=-24703..2376,y=-63863..-47928,z=54448..74373
on x=57985..69487,y=-49162..-35448,z=-12451..5037
on x=45251..53043,y=-25237..-7481,z=57517..73228
off x=13704..26376,y=-51898..-28036,z=-70924..-57468
off x=-11101..10921,y=-97386..-65516,z=11205..33803
on x=-28595..-1831,y=-69153..-55942,z=-64754..-35489
off x=-73177..-60126,y=30788..51362,z=7072..32128
on x=-63584..-43963,y=30054..35783,z=35239..48673
on x=14885..22528,y=-69221..-49535,z=-56213..-39035
on x=47036..69580,y=-47386..-35040,z=-34293..-26206
on x=-6011..13690,y=-88824..-61431,z=12453..28051
on x=-32732..-2753,y=-77746..-64445,z=-39101..-13631
off x=-75895..-62847,y=-7868..-1442,z=18543..39903
off x=-28939..7818,y=-92499..-69292,z=-15478..1721
off x=44329..56950,y=37643..63858,z=27046..41904
off x=-36770..-31601,y=-42713..-14541,z=50003..75515
on x=-62543..-40929,y=45076..65249,z=-30890..-13694
off x=-39137..-7500,y=-48254..-37046,z=-73303..-46696
on x=-45395..-19405,y=-80105..-55197,z=1396..14117
on x=-46841..-27814,y=37090..63817,z=35021..69243
on x=-33219..-17593,y=11082..22501,z=-79892..-68599
on x=48420..67442,y=-17135..7993,z=44169..61033
on x=-23786..-11155,y=16157..38374,z=-76684..-68602
off x=10664..26915,y=65400..82759,z=24496..52855
off x=-15800..584,y=19286..38938,z=52914..78654
on x=-48190..-15289,y=42982..66053,z=-49276..-26564
off x=-18136..-10686,y=33123..48632,z=51138..74719
off x=18924..37949,y=-14489..3903,z=-89594..-67799
